49.400
113.500
190.000
50.000
12.000
10.000
-31.780
0.000,-0.037,0.008,0.045,0.118,0.185,0.215,0.270,0.325,0.298,0.338,0.380
0.013,-0.015,0.023,0.052,0.128,0.200,0.233,0.295,0.355,0.335,0.350,0.400
0.038,0.000,0.040,0.075,0.150,0.218,0.250,0.310,0.360,0.338,0.368,0.420
0.070,0.025,0.068,0.095,0.153,0.230,0.267,0.328,0.388,0.370,0.388,0.440
0.093,0.050,0.078,0.115,0.170,0.240,0.275,0.335,0.398,0.370,0.398,0.450
0.123,0.075,0.108,0.135,0.185,0.260,0.298,0.368,0.433,0.410,0.425,0.475
0.160,0.110,0.128,0.150,0.210,0.283,0.323,0.383,0.445,0.420,0.445,0.503
0.205,0.145,0.170,0.183,0.238,0.312,0.353,0.415,0.475,0.460,0.480,0.528
0.248,0.180,0.198,0.210,0.275,0.347,0.388,0.450,0.505,0.488,0.520,0.570
0.278,0.215,0.238,0.250,0.312,0.390,0.433,0.493,0.555,0.540,0.568,0.610
